Question,Énoncé,A,B,C,D,E,Réponse,Image,Thème
30,Un marchand de biens immobiliers achète pour 243 000 € une maison qu'il divise en appartements tous identiques. Il vend alors chaque appartement pour 18 000 €. Son bénéfice est exactement égal au prix d'achat de 6 appartements (au prorata de l’achat total). En combien d’appartements la maison a-t-elle été divisée ?,20,18,16,14,12,B,,
31,"Il y a 3 ans, le prix d’un billet de train était de 15 €. Puis, après deux augmentations, ce même billet vaut 45 € aujourd’hui. La deuxième augmentation est 2 fois supérieure à la première augmentation. Ainsi, quel est le pourcentage de la première augmentation ?",20 %,50 %,100 %,120 %,220 %,B,,
32,On considère les nombres de trois chiffres dont les chiffres sont tous différents. Quelle est la différence entre le plus grand et le plus petit ?,975,864,876,885,899,D,,
33,Émilie doit numéroter les 220 étiquettes des invités à son mariage. Combien de fois va-t-elle écrire le chiffre 2 ?,60,61,62,63,64,E,,
34,"Une somme est placée à taux d'intérêts fixe. Elle rapporte 110 € la première année et 112,2 € la deuxième année. Quelle est la valeur du capital initial ?",4 100 €,4 500 €,5 100 €,5 500 €,5 900 €,D,,
35,"J’ai dépensé 5 fois plus d’argent que ma sœur, soit 112 euros de plus. Combien ai-je dépensé ?",28 euros,56 euros,84 euros,112 euros,140 euros,E,,
36,"Pour réduire sa consommation d’eau, Sylvain a réduit d’un tiers la durée de ses douches. En baissant la pression de l’eau, il a aussi réduit d’un quart le débit de l’eau à la sortie du pommeau. De quel pourcentage Sylvain a-t-il ainsi réduit le volume d’eau utilisé pour se doucher ?",40 %,45 %,50 %,55 %,60%,C,,
37,"Antoine a écrit dans l’ordre quatre nombres entiers consécutifs à 2 chiffres en remplaçant les chiffres par des symboles. Si les trois premiers nombres sont : ©, ø, ø, quel est le nombre suivant ?",*ø,**,øø,©*,ø©,C,,
38,Un cercle et un carré sont disposés comme suit. Quelle est la valeur du rapport de la surface du carré sur celle du cercle ?,π / 4,π / 3,π / 2,4 / π,2 / π,D,,
39,"2 coureurs courent autour d’une piste circulaire de 600 mètres de circonférence. Ils démarrent en même temps et du même point. Sachant que l’un court à 9 km/h et l’autre court à 15 km/h, au bout de combien de temps le coureur le plus rapide rattrapera-t-il le coureur le plus lent pour la 2ème fois ?",6 minutes,12 minutes,18 minutes,24 minutes,30 minutes,B,,
40,"5 nombres valent 101 en moyenne. Ils suivent une progression arithmétique. Le 1er et 5ème sont des carrés, Quel est le deuxième nombre de la série ?",81,86,91,96,101,C,,
41,"Un rectangle gris est formé de trois carrés gris identiques juxtaposés et est inscrit dans un rectangle plus grand, comme indiqué sur la figure. Deux sommets du rectangle gris sont les milieux des largeurs du grand rectangle. Quelle est la proportion de l’aire de la zone grisée sur l’aire de la figure totale ?",3/7,1/2,4/9,5/9,2/3,B,,
42,"Dans un groupe de 9 fonctionnaires, de combien de façons différentes peut-on désigner un(e) président, un(e) vice-président et un(e) trésorier(e) ?",1000,729,512,504,24,D,,
43,"Lors du gala d’une école de commerce, les recettes se sont élevées à 19 180 €. Les étudiants payent 17 euros et les adultes payent 21 euros. Sachant qu’il y a eu 1 100 entrées, combien d’adultes ont assisté au gala ?",100,110,120,130,140,C,,
44,"Soit un rectangle inscrit dans un cercle de rayon 5 cm. Quelle est la surface du rectangle, sachant que sa longueur et sa largeur sont des nombres entiers ?",40 cm2,42 cm2,44 cm2,46 cm2,48 cm2,E,,
45,Antonin mange 40 sushis en 5h20. Combien peut-il en manger en 6h40 ?,47,50,52,57,70,B,,
46,Quelle est l’aire maximale pour un rectangle de 24 centimètres de périmètre dont les côtés sont des nombres entiers ?,11 cm2,20 cm2,28 cm2,35 cm2,42 cm2,D,,
47,Un cocktail est constitué de 100 litres de vin dont le degré d’alcool est de 10 % vol. et de 20 litres de rhum dont le degré d’alcool est de 50%. Quel est le degré d’alcool de ce cocktail ?,1/4,1/5,1/6,1/7,1/8,C,,
48,"Dans la figure ci-contre, les segments intérieurs au grand carré joignent un sommet au milieu d'un côté. Quelle est la part de l’aire grisée sur l’aire totale ?",1/4,1/5,1/6,1/7,1/8,B,,
49,"On dispose de 2 dés A et B. Le dé A donne un résultat supérieur ou égal à 4 avec une probabilité de 3/4 tandis que le dé B est équilibré. Si le résultat d’un lancer de dé supérieur ou égal à 4, quelle est la probabilité qu’il s’agisse du dé A ?",20 %,30 %,40 %,50 %,60 %,E,,
50,"Nathan et Sylvie quittent leurs maisons en scooter pour se rejoindre. Ils se croisent à 375 km de la maison de Nathan. Sachant que leurs deux maisons sont distantes de 1250 km, quelle est la vitesse de la voiture de Nathan en proportion de la vitesse de la voiture de Sylvie ?",3/10,3/7,4/9,6/13,7/15,B,,
51,Le carré ci-dessous est découpé en 4 carrés identiques. Quelle est la proportion de l'aire de la partie grisée sur l’aire totale de la figure ?,π / 4,π / 3,π / 2,4 / π,2 / π,A,,
52,"Pour atteindre sa maison située en haut d’une montagne, Antoine doit emprunter une route de plus en plus pentue, longue de 15 kilomètres et qui commence à 700 mètres d’altitude. Le premier tiers a une pente moyenne de 5%, le deuxième tiers a une pente moyenne de 10 % et les 5 derniers kilomètres montent à 15 % de moyenne. Quelle est l’altitude de la maison d’Antoine ?",2000 mètres,2100 mètres,2200 mètres,2300 mètres,2400 mètres,C,,
53,"Pour renouveler son matériel de classe, un directeur d’école achète 200 chaises. Le directeur de l’école voisine achète 20 chaises de plus donc le fournisseur lui offre une réduction de 2 € par chaise achetée. Sachant que les deux directeurs ont payé la même somme totale, quel est le prix d’une chaise sans réduction ?",18€,19€,20€,21€,22€,E,,
54,Un cycliste effectue deux tours d’un même vélodrome. Il roule le premier tour à 20 km/h. Sa vitesse moyenne sur les deux tours est de 24 km/h. Quelle a été sa vitesse moyenne sur le deuxième tour de circuit ?,28 km/h,30 km/h,32 km/h,34 km/h,36 km/h,B,,
55,"3 grands cercles et 4 petits cercles sont tangents et de centres alignés, comme dans la figure ci-dessous. Les 4 petits cercles ont pour rayon 1. Combien vaut l’aire grisée ?",π,2π,3π,4π,5π,B,,
56,"Sophie place 70 % de son capital à 3 % et les 30 % restants à 5 %. Au bout d’un an, elle a récolté 72 € d’intérêts. Quel est le montant de son capital initial ?",1 800€,1 900€,2 000€,2 100€,2 200€,C,,
57,3 frères constatent que la somme de leurs âges est égale à 66 ans. Quelle serait la somme de leurs âges la prochaine fois qu’elle serait à nouveau un nombre composé de plusieurs chiffres identiques ?,77 ans,88 ans,99 ans,111 ans,222 ans,C,,
58,"Dans une colonie de vacances de 75 enfants, 48 parlent français, 29 parlent espagnol et 19 parlent les deux langues (français et espagnol). Combien d’enfants ne parlent ni français ni espagnol ?",13,17,19,21,23,B,,
59,"Pour préparer la salle pour le week-end d’examen, Joachim seul met 3 heures alors qu’Arnaud ne met que 2 heures. Combien mettraient-ils ensemble pour préparer la salle ?",2h32,2h12,1h52,1h32,1h12,E,,
60,Sept frères ont pour âge moyen 18 ans et ont tous un écart identique de 2 ans. Quel est l’âge du frère le plus jeune ?,10 ans,11 ans,12 ans,13 ans,14 ans,C,,
61,Mattias achète deux encyclopédies au même prix. Il revend la première avec 15 % de perte et la deuxième avec 25 % de perte. La revente des deux encyclopédies lui a alors rapporté 64 €. Quel était le prix d’achat de chaque encyclopédie ?,30€,35€,40€,45€,50€,C,,
62,"Une piscine est de forme rectangulaire. Si l'on augmente de 8 mètres sa longueur et que l'on diminue de 4 mètres sa largeur, sa surface reste inchangée. De même, si l'on augmente sa longueur de 3 mètres et si l'on diminue sa largeur de 2 mètres, sa surface reste inchangée. Quelle est la surface de cette piscine?",105 m²,110 m²,115 m²,120 m²,125 m²,D,,
63,"Si X est égal au tiers de X – Y, quelle est la valeur de Y/X ?",-2,-1,0,1,2,A,,
64,2 pilotes de Formule 1 s’élancent. La Lotus part en premier à 240 km/h et la Ferrari part 5 minutes après à 300 km/h. Au bout de combien de temps la Ferrari aura-t-elle rattrapé la Lotus ?,10 minutes,12 minutes,15 minutes,18 minutes,20 minutes,D,,
65,"Matteo possède 3 fois plus de friandises que Thomas. Si Matteo donnait 7 de ses friandises à Thomas, alors Matteo ne posséderait alors que 2 fois plus de friandises que Thomas. Combien de friandises Matteo et Thomas possèdent-t-il en tout ?",44,52,64,84,100,D,,
66,Guillaume place 20 000 € à 6% et 30 000 € à 10%. Loïc place 6 000 € à 11% et 24 000 € à 6%. Quelle est la différence de rendement en pourcentage ?,20 %,40 %,60 %,80 %,90 %,A,,
67,"Alain va acheter du pain en voiture, il fait 20 kilomètres à 30km/h en moyenne. Puis, pour acheter le journal, il parcourt 5 kilomètres à 15 km/h. Quelle est la vitesse moyenne de son parcours ?",35 km/h,20 km/h,30 km/h,25 km/h,15 km/h,D,,
68,Sophie achète une tablette avec 20 % de réduction. Elle le paye alors 792 €. Quel était son prix avant la réduction?,"950,40€",975€,990€,"1 025,20€",1 050€,C,,
69,Des coupelles identiques sont empilées. Une pile de quatre coupelles mesure 17 centimètres de hauteur et une pile de deux coupelles mesure 11 centimètres de hauteur. Combien mesurerait une pile de 6 de ces coupelles ?,20 cm,21 cm,22 cm,23 cm,24 cm,D,,
70,"Les trois côtés d’un triangle mesurent respectivement 6, 8 et 10 cm. Combien mesure le côté d’un triangle équilatéral de même périmètre ?",6 cm,7 cm,8 cm,9 cm,10 cm,C,,
71,Un rectangle de largeur 5 centimètres et de longueur 11 centimètres contient 2 cercles tangents comme sur la figure ci-dessous (pas à l’échelle). Quelle distance sépare les centres des 2 cercles ?,4 cm,"4,5 cm",5 cm,"5,5 cm",6 cm,E,,
72,La somme de 5 carrés de nombres premiers consécutifs est égale à 373. Quel est le plus grand de ces carrés ?,25,49,121,169,289,D,,
73,"Sylvie se trouve devant une urne contenant des boules numérotées de 100 à 299. En choisissant une boule au hasard, quelle est la probabilité que le numéro de la boule choisie soit composé uniquement de chiffres impairs ?",1/2,1/4,1/6,1/8,1/9,D,,
74,"Dans le schéma ci-dessous, les 2 droites sont parallèles. Que vaut l’angle A ?",25°,35°,45°,55°,65°,D,,
75,Soit 2 nombres entiers tels que leur somme est égale à 26 et la différence de leurs carrés donne 208. Combien vaut la somme de leurs carrés ?,340,350,360,370,380,D,,
76,"Une entreprise a 2 clients A et B. Le client A pèse 60% de son chiffre d’affaires tandis que le client B représente les 40 % restants. Pour l’année prochaine, le client A va réduire ses commandes de 10 %. De combien le client B doit-il augmenter ses commandes pour que l’entreprise reste à l’équilibre ?",11 %,12 %,13 %,14 %,15 %,E,,
77,Soit 4 cercles identiques de diamètre 2. Que vaut le périmètre de la partie grisée ?,π,2π,3π,4π,5π,B,,
78,"Sur 200 000€, un investisseur décide de placer 100 000€ à 5%, 40 000€ à 2,5% et le reste sur un troisième actif. Quel est le taux de ce dernier actif sachant que la rentabilité moyenne attendue totale est de 4,5 % ?","2,5 %","3,5 %",4 %,5 %,"5,5 %",D,,
79,Soit X un entier positif non nul strictement inférieur à 10 et Y un entier. Combien vaut Y sachant que Y2–X2+2=X+X3 ?,1,4,8,16,Plusieurs des réponses proposées sont possibles.,E,,
80,De combien de façons différentes peut-on composer 3 équipes de 2 avec 6 personnes ?,6,10,12,15,20,D,,
81,"On lance une fois deux dés non pipés, quelle est la probabilité que la somme des 2 faces obtenues soit impaire et strictement supérieure à 9 ?",1/36,2/36,3/36,4/36,5/36,B,,
82,"Si Sabrina devait vivre jusqu’à ses 99 ans, alors le temps qu’il lui resterait à vivre représenterait sept quarts de son âge actuel. Quel est l’âge de Sabrina ?",36 ans,42 ans,46 ans,52 ans,56 ans,A,,
83,Une voiture roule pendant 250 000 km avec 5 roues (4 roues et la roue de secours). Chacune des roues a été utilisée autant. Combien de kilomètres chaque roue a-t-elle roulé ?,150 000 km,175 000 km,200 000 km,225 000 km,250 000 km,C,,
84,"Charlotte dispose d’un nombre. Elle constate que lorsqu’elle divise ce nombre par 3, 5 ou 11, il reste 2. Quel est ce nombre ?",661,497,573,347,1332,D,,
85,"Un vendeur de chemises a vendu son stock de chemises rouges et bleues pour 335 euros. Sachant qu’il a vendu 23 chemises en tout et qu’une chemise bleue coûte 1 € de plus qu’une chemise rouge, combien de chemises rouges ont été vendues ?",9,10,11,12,13,B,,
86,La somme de 4 nombres entiers consécutifs est égale à 486. Combien d’entre eux sont des nombres premiers ?,0,1,2,3,4,A,,
87,On augmente la largeur et la longueur d’un rectangle de 10 %. Quelle est l’évolution globale de la surface du rectangle ?,"0,1","0,2","0,21","0,25","0,3",C,,
88,Que représente la partie grisée en proportion de la figure totale ?,1/6,1/7,1/8,1/9,1/10,D,,
89,"Un immeuble possède un code d’entrée. Pierre a un papier avec 5 codes en tout : 2 qui fonctionnent et 3 qui sont défectueux. Pierre essaie le premier, mais il est défectueux. Quelle est la probabilité que Pierre essaye les 2 autres codes défectueux lors de ses 2 prochaines tentatives ?",1/2,1/3,1/4,1/5,1/6,E,,
90,Quel est le rayon des 3 demi-disques identiques représentés sur la figure ci-dessous ?,10 cm,12 cm,16 cm,20 cm,24 cm,A,,
91,"Une femme a 40 ans et ses 4 neveux ont 2, 6, 7 et 10 ans. Dans combien d’années la somme des âges des 4 neveux sera-t-elle égale à l’âge de cette dame ?",1 an,2 ans,3 ans,4 ans,5 ans,E,,
92,Quel est le résultat de l’opération suivante : (3^20 - 3^19)/(3^19 - 3^18),1,3,9,27,81,B,,
93,"Le triangle équilatéral BKN est de côté 10 centimètres. I,I’ et I’’ sont les milieux respectifs de BK, KN et BN. Quelle est l’aire de la partie grisée ?","12,5 × (2√3 – π)",25π – 2√3,100π × √3,100 × (√3 – π),100√3 – π/2,A,,
94,"On lance simultanément deux dés non pipés. Sachant que le 5 n’est pas sorti, quelle est la probabilité que la somme obtenue soit égale à 6 ?",3/36,5/36,4/25,5/25,3/25,E,,
95,"Les trois côtés d’un triangle mesurent respectivement 7 cm, 11 cm et 12 cm. Combien mesure le côté d’un triangle équilatéral de même périmètre ?",6 cm,7 cm,8 cm,9 cm,10 cm,E,,
96,"Une colonie de vacances de 150 enfants est répartie en 3 groupes d’âges : les grands, les moyens et les petits. Combien y a-t-il d’enfants dans le groupe des moyens sachant que le groupe des grands et celui des moyens regroupent 110 enfants et que le groupe des petits et celui des moyens regroupent 69 enfants ?",15,19,25,29,35,D,,
97,Une croix vue du ciel est constituée de cubes dont l’aire d’une des faces est égale à 16 cm². Quel est le volume de cette croix ?,200 cm³,271 cm³,324 cm³,384 cm³,411 cm³,D,,
98,"8 personnes, dont Arnaud et Joachim, s’installent aléatoirement sur une table ronde de 8 places. Quelle est la probabilité que Arnaud et Joachim soient assis l’un à côté de l’autre ?",2/7,2/8,1/7,3/8,6/7,E,,
99,Un code d’entrée est composé de 3 chiffres ainsi que d’un symbole (# ou *). Combien y a t-il de de codes possibles ?,1 000,2 000,4 000,8 000,16 000,D,,
100,"Pour partir en week-end dans sa maison de campagne, Monsieur Pouchard roule en moyenne à 90 km/h à l’aller et à 110 km/h au retour. Quelle est sa vitesse moyenne sur l’aller-retour ?",98 km/h,99 km/h,100 km/h,101 km/h,102 km/h,B,,
101,Alain souhaite vendre sa machine à laver sur un site de revente entre particuliers. À quel prix doit-il afficher son produit pour qu’il se vende 560 € après une réduction de 20 % ?,672€,685€,693€,700€,707€,D,,
102,"Une somme placée à taux d’intérêt fixe rapporte 270 euros la première année et 283,5 euros la deuxième année. Quelle somme a été initialement placée ?",5 000 €,5 100 €,5 200 €,5 300 €,5 400 €,E,,
103,Combien de litres un robinet de débit 24 m³/jour évacue-t-il en 15 minutes ?,150 L,200 L,250 L,300 L,350 L,C,,
104,"Sophie appelle son mari et lui dit : « J’ai un certain âge. Si on m’ajoutait un certain nombre d’années, alors j’aurais 60 ans. En revanche, si on me retirait ce même nombre d’années, j’aurais 44 ans ». Quel est l’âge de Sophie ?",46 ans,48 ans,50 ans,52 ans,54 ans,D,,
105,"Deux routes droites se coupent à angle droit. Un cycliste roulant à 18 km/h parcourt 9 km sur l’une jusqu’au croisement, puis 12 km sur l’autre. Combien de temps lui ferait gagner un chemin qui irait en ligne droite du point de départ au point d’arrivée ?",15 minutes,18 minutes,20 minutes,22 minutes,25 minutes,C,,
106,"Au cinéma, une rangée de 23 sièges est occupée un siège sur deux par une personne qui porte une casquette et un siège sur deux par une personne qui porte un bonnet. Chaque personne avec une casquette a au moins une personne portant un bonnet assise à côté d’elle. Combien, au maximum, peut-il y avoir de personnes portant une casquette dans cette rangée ?",7,8,10,11,12,E,,
107,"Deux trains roulent l’un vers l’autre. Le premier roule à 70 km/h et l’autre (qui fait le chemin inverse) roule à 50 km/h. Sachant qu’ils partent à la même heure de deux villes distances de 168 kilomètres, à quelle distance de la ville de départ du premier train vont-ils se croiser ?",98 km,100 km,102 km,104 km,106 km,A,,
108,Le prix de la moutarde a diminué de 30 % au deuxième semestre de l’année après une augmentation de 20 % au premier semestre. Quelle est la variation du prix de la moutarde depuis le début ?,-16 %,-18 %,-20 %,-22 %,-24 %,A,,
109,Un joueur professionnel de padel a gagné exactement 49 % des 2 000 parties qu’il a jouées. Quel est le minimum de parties qu’il doit jouer en plus pour pouvoir atteindre un taux de 50 % de parties gagnées ?,20,30,40,50,60,C,,
110,Nathan fait un trajet de 400 kilomètres à 120 km/h. Théo part pour le même trajet quand Nathan a déjà fait 40 kilomètres. À quelle vitesse doit rouler Théo pour rattraper Nathan au 200ème km ?,120 km/h,130 km/h,135 km/h,150 km/h,160 km/h,D,,
111,Quelle part du rectangle la zone grisée représente-t-elle ? (Voir Image 1 dans le document),10 %,15 %,20 %,25 %,30 %,D,,
112,"Il y a 14 ans, l’âge de Paul était 4 fois celui de Jacques. Quel est l’âge de Paul, sachant qu’aujourd’hui Jacques a 16 ans ?",15 ans,17 ans,22 ans,31 ans,50 ans,C,,
113,Jeanne a dessiné un soleil. Les côtés de l’étoile et le rayon du cercle sont de même longueur L. Quelle est l’aire de la partie colorée ? (Image non fournie),L² × (3√3 − π),L² × √3,3√3 × L²,L³,3 × L² × π,A,,
114,"Sammy place une somme d’argent sur un produit financier dont le rendement est de 5 % brut annuel. Au bout d’un an, il récupère son argent, soit 31 200 €, nets des prélèvements sociaux qui s’élèvent à 20 % des intérêts. Quel est le montant de la somme placée par Sammy ?",29 500 €,29 800 €,30 000 €,30 200 €,30 500 €,C,,
115,À quelle puissance faut-il élever 9³ pour obtenir 27¹⁰ ?,2,3,4,5,6,D,,
116,Anatole achète une action 1/4 de plus que sa valeur réelle. Combien de pourcentage l’action doit-elle perdre pour retrouver sa valeur de départ ?,15 %,20 %,25 %,30 %,35 %,B,,
117,"Dans une colonie de vacances, un tiers des enfants ne sait pas nager et un quart ne sait pas faire de volley-ball. Par ailleurs, 120 d’entre eux savent nager et faire du volley-ball et un douzième ne sait ni nager ni faire du volley-ball. Combien d’enfants dans ce groupe savent nager ?",80,120,160,200,240,C,,
118,"Zoé achète plusieurs sacs contenant chacun 14 gâteaux, 20 bonbons et 10 sucettes. À la fin, elle dispose de 102 bonbons de plus que de gâteaux. Combien a-t-elle de sucettes ?",140,150,160,170,180,D,,
119,Que vaut 4² × 64² × 16³ / 4⁸ ?,8²⁰,4⁶,16⁹,16²⁶,64⁸,B,,
120,Complétez la suite logique suivante : 12 – 13 – 21 – 48 – ?,47,61,89,112,124,D,,
121,"On considère le rectangle et les trois cercles ci-dessous, disposés comme sur la figure. Le périmètre du rectangle est égal à 32 cm. Que vaut l’aire du cercle gris ? (Figure non fournie)",2π cm²,3π cm²,4π cm²,6π cm²,Il manque des informations,C,,
122,"Dans une classe, 1/3 des sièges sont occupés. Si 12 élèves s’installent, on atteint 3/5 de la capacité de la classe. Combien la classe contient-elle de places en tout ?",30,39,45,50,55,C,,
123,Le grand carré de côté 4 centimètres est découpé en petits carrés identiques comme sur la figure. Combien mesure le segment qui relie les 2 cercles ? (Figure non fournie),3√2​−1 cm,3√2​−2 cm,4√2​−1 cm,4√2​−2 cm,5√2​−1 cm,A,,
124,Le prix d’un produit augmente de 20 % mais le chiffre d’affaires recule de 4%. De combien le nombre de produits vendus a-t-il diminué ?,10 %,15 %,20 %,25 %,30 %,C,,
125,"Thomas a 14/20 de moyenne générale en français, mathématiques, anglais, physique et biologie. Sachant que les coefficients sont identiques pour chaque matière et qu’il a 12/20 de moyenne en français, mathématiques et anglais et 16/20 de moyenne en anglais, physique et biologie, quelle est sa note en anglais ?",12,13,14,16,15,C,,
126,"Deux usines U1 et U2 produisent respectivement 375 et 625 machines à coudre. Le taux de produits défectueux est de 4 % pour l’usine U1 et 8 % pour l’usine U2. Si l’on sélectionne au hasard une machine à coudre et qu’elle est en mauvais état, quelle est la probabilité que celle-ci provienne de l’usine U2 ?",7/9,8/11,9/12,10/13,11/14,D,,
127,"Un triangle possède des côtés dont les longueurs sont des entiers naturels tous différents. Sachant que les longueurs des deux plus petits côtés ont 1 centimètre de différence et que la somme des 3 longueurs est égale à 13 centimètres, quelle est la longueur du plus petit côté ?",1 cm,2 cm,3 cm,4 cm,5 cm,C,,
128,Lors d’un voyage entre 4 amis : Patrick a pris en charge les billets d’avion pour tous : 600 euros; Rémy a payé les repas pour tous sauf pour Quentin : 450 euros; Stéphane a payé le logement pour tous : 600 euros; Quentin a payé la sortie en bateau pour tous sauf Stéphane : 300 euros. Combien Quentin doit-il rembourser à ses amis ?,50 euros,75 euros,100 euros,125 euros,150 euros,C,,
129,Combien vaut 3¹⁰ + 3¹⁰ + 3¹⁰ ?,3¹⁰,3¹¹,3¹²,3¹³,3³⁰,B,,
